Black Jack National #2,,
A Pro    Total Riders = 21    Groups = 12,,
,1,"MAX CAIRNS, HENDERSON, NV"
,2,"RUBEN GARCIA, FACTORY ALPHA, CURACAS,VENEZUALA, CA"
,3,"TYLER PETTY, FACTORY GOLD'S GYM, CYPRESS, TX"
,4,"WALKER FINCH, FACTORY RIFT/TANGENT, FT COLLINS, CO"
,5,"JORDAN MIRANDA, FACTORY FREE AGENT-BOX, BAKERSFIELD, CA"
,6,"KEVIN SHANKEL, MOTIVE POWER/FLY/TANGENT, STOCKTON, CA"
,7,"KEITH GRINE, FACTORY ALPHA, SIMI VALLEY, CA"
,8,"COLE TESAR, THRODWN, HUNTERSVILLE, NC"
,,
Vet Pro    Total Riders = 8    Groups = 1,,
,1,"CRISTIAN BECERINE, THRODWN, COSTA MESA, CA"
,2,"MICHAEL WEATHERFORD, JR BICYCLES.COM/CHASE/BOX, MURRIETA, CA"
,3,"TIM (TNT) KNEIP, PRIMAL BMX/BOMBSHELL, SAN ANTONIO, TX"
,4,"HECTOR SANCHEZ, ELITE BICYCLES/VENDETTA, RENO, NV"
,5,"JAKE BROWN, FACTORY ALPHA, STOCKTON, CA"
,6,"JAVIER (JAVI) COLOMBO, SE/MAXXIS TIRES, COSTA MESA, CA"
,7,"DWAYNE (DOUBLE D) DALY, F2W/BOMBSHELL/AVENT, SPARKS, NV"
,8,"MIKE ACOSTA, COVINA, CA"
,,
Women Elite    Total Riders = 15    Groups = 6,,
,1,"ALISE POST, PROMAX/GW, CHULA VISTA, CA"
,2,"LAUREN REYNOLDS, ANSWER/RENNEN, CHULA VISTA, CA"
,3,"BROOKE CRAIN, HARO/ROCKSTAR, VISALIA, CA"
,4,"MIKA SHAW, JR BICYCLES.COM/CHASE/BOX, CASTLE ROCK, CO"
,5,"SOPHIA FORESTA, GT, SOUTH JORDAN, UT"
,6,"ASHLEY VERHAGEN, TEMPE, AZ"
,7,"DANI GEORGE, GT/100 %, PALMDALE, CA"
,8,"ZOE FLEMING, HARO/PROMAX, AUCKLAND"
,,
Men Elite    Total Riders = 17    Groups = 9,,
